listing_id,nb_reviews,neg_proprete,pct_proprete,neg_bruit,pct_bruit,neg_confort_literie,pct_confort_literie,neg_temperature,pct_temperature,neg_accueil,pct_accueil
6153615,65,0,0.0,0,0.0,3,4.6,0,0.0,0,0.0
6166874,45,0,0.0,0,0.0,0,0.0,1,2.2,0,0.0
6178978,157,0,0.0,1,0.6,1,0.6,0,0.0,0,0.0
6182624,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6191791,22,1,4.5,1,4.5,2,9.1,0,0.0,0,0.0
6222457,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6237931,11,0,0.0,0,0.0,1,9.1,0,0.0,0,0.0
6254000,602,6,1.0,3,0.5,3,0.5,5,0.8,0,0.0
6257363,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6258736,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6265079,112,0,0.0,2,1.8,1,0.9,0,0.0,2,1.8
6268945,318,0,0.0,2,0.6,2,0.6,0,0.0,0,0.0
6273266,19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6280408,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6299994,191,4,2.1,1,0.5,1,0.5,0,0.0,1,0.5
6307124,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6308919,18,0,0.0,1,5.6,0,0.0,0,0.0,0,0.0
6324277,67,0,0.0,17,25.4,1,1.5,0,0.0,0,0.0
6327931,24,1,4.2,6,25.0,0,0.0,0,0.0,0,0.0
6331522,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6350507,17,1,5.9,0,0.0,1,5.9,0,0.0,1,5.9
6351422,55,1,1.8,5,9.1,0,0.0,0,0.0,0,0.0
6382285,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6399903,29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6401079,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6406982,545,2,0.4,8,1.5,1,0.2,1,0.2,0,0.0
6422120,195,0,0.0,4,2.1,1,0.5,1,0.5,1,0.5
6424164,941,4,0.4,2,0.2,1,0.1,2,0.2,0,0.0
6432440,29,1,3.4,0,0.0,0,0.0,0,0.0,0,0.0
6448246,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6479298,11,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0
6491483,59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6492901,35,0,0.0,1,2.9,0,0.0,0,0.0,0,0.0
6497569,277,0,0.0,34,12.3,3,1.1,0,0.0,0,0.0
6500847,29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6504060,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
